task_id,equipment_id,equipment_name,frequency,task_activity,component_focus,description_check,,,,,,,,,,,
sa-w-2,"26,27,73,78",SA Fan,Weekly,Check and clean exterior,Fan Housing/Drives,Remove any accumulated coal dust or debris from the fan casing and motor body.,,,,,,,,,,,
sa-m-1,"26,27,73,79",SA Fan,Monthly,Check foundation bolt tightness,Baseplate,"Torque check all anchor and mounting bolts for the fan, motor, and pedestals.",,,,,,,,,,,
sa-m-2,"26,27,73,80",SA Fan,Monthly,Monitor oil pressure (if forced lubrication),Oil System,Verify the oil pump pressure is stable and within the operating range.,,,,,,,,,,,
sa-q-1,"26,27,73,81",SA Fan,Quarterly,Perform detailed vibration analysis,Impeller/Bearings,"Conduct a spectral analysis to diagnose unbalance, misalignment, or bearing wear.",,,,,,,,,,,
sa-q-2,"26,27,73,82",SA Fan,Quarterly,Inspect V-belt/sheave wear (if applicable),Belt Drive,"Check belts for cracks, tension, and check sheaves/pulleys for groove wear.",,,,,,,,,,,
sa-h-1,"26,27,73,83",SA Fan,Half-Yearly,Check fan blade/impeller wear,Impeller/Blades,"Shut down and physically inspect the blades for erosion, pitting, or material buildup.",,,,,,,,,,,
sa-h-2,"26,27,73,84",SA Fan,Half-Yearly,Inspect damper/guide vane linkages,Inlet/Outlet Dampers,"Check all linkages, pins, and actuators for free movement and lubricant.",,,,,,,,,,,
sa-a-1,"26,27,73,85",SA Fan,Annually,Check and correct shaft alignment,Coupling,Use laser or dial indicators to verify and correct alignment between the motor and fan shafts.,,,,,,,,,,,
sa-a-2,"26,27,73,86",SA Fan,Annually,Complete fan overhaul/internal inspection,Bearings/Shaft/Casing,"Major shutdown inspection of internal components, including casing wear liners.",,,,,,,,,,,
sa-a-3,"26,27,73,87",SA Fan,Annually,Perform dynamic balancing,Fan Impeller,"Balance the fan wheel in place after any cleaning, repair, or internal inspection.",,,,,,,,,,,
sa-o-1,"26,27,73,88",SA Fan,On Breakdown,Impeller or Shaft Repair/Replacement,Impeller/Shaft,Replace or repair the damaged component.,,,,,,,,,,,
sa-o-2,"26,27,73,89",SA Fan,On Breakdown,Root Cause Analysis (RCA),Entire Unit,"Investigate the cause of failure (e.g., failed bearing due to inadequate cooling, high vibration overload).",,,,,,,,,,,
lo-d-1,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,114",Lobe Blowers,Daily,Monitor discharge temperature,Air Flow/Housing,Check the air discharge temperature against the baseline or maximum limit.,,,,,,,,,,,35
lo-d-2,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,115",Lobe Blowers,Daily,Check oil level and condition,Gearbox/Bearings,Verify the lubrication oil level in both the gear end and drive end sumps.,,,,,,,,,,,36
lo-d-3,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,116",Lobe Blowers,Daily,Check for abnormal noise and vibration,Blower Assembly,"Listen for knocking, clicking, or rubbing sounds; check vibration levels.",,,,,,,,,,,37
lo-w-1,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,117",Lobe Blowers,Weekly,Inspect and clean air filters,Suction Filter,Remove and clean or replace the air intake filter element.,,,,,,,,,,,38
lo-w-2,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,118",Lobe Blowers,Weekly,Inspect V-belt tension and wear (if applicable),Drive System,Check belts for cracks and ensure tension is within the specified range.,,,,,,,,,,,39
lo-w-3,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,119",Lobe Blowers,Weekly,Check relief valve setting,Safety Valve,Bump-check the pressure relief valve to ensure it's functioning and set correctly.,,,,,,,,,,,40
lo-m-1,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,120",Lobe Blowers,Monthly,Check motor current draw,Motor,Record running amperage and compare against the nameplate rating and baseline.,,,,,,,,,,,41
lo-m-2,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,121",Lobe Blowers,Monthly,Check foundation bolt tightness,Baseplate,Torque check all anchor and mounting bolts for the blower and motor.,,,,,,,,,,,42
lo-q-1,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,122",Lobe Blowers,Quarterly,Perform detailed vibration analysis,Bearings/Shafts,Conduct a spectral analysis to diagnose bearing defects or rotor imbalance.,,,,,,,,,,,43
lo-q-2,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,123",Lobe Blowers,Quarterly,Change lubrication oil,Gearbox/Sumps,"Drain old oil completely from both sumps and refill with new, specified oil.",,,,,,,,,,,44
lo-h-1,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,124",Lobe Blowers,Half-Yearly,Check and adjust rotor timing,Timing Gears,Inspect timing gears for wear and check the lobe clearance (timing) using feeler gauges.,,,,,,,,,,,45
lo-h-2,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,125",Lobe Blowers,Half-Yearly,Inspect seal condition,Shaft Seals,"Check oil seals for leakage and air seals (e.g., labyrinth seals) for damage or material carryover.",,,,,,,,,,,46
lo-a-1,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,126",Lobe Blowers,Annually,Complete blower disassembly/internal inspection,Lobes/Casing,"Disassemble the unit to inspect lobes for rubbing marks, corrosion, or wear.",,,,,,,,,,,47
lo-a-2,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,127",Lobe Blowers,Annually,Check and correct shaft alignment,Coupling,Use laser/dial indicators to verify and correct alignment between the motor and blower shafts.,,,,,,,,,,,48
lo-o-1,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,128",Lobe Blowers,On Breakdown,Root Cause Analysis (RCA),Entire Unit,"Investigate the cause of failure (e.g., bearing failure from timing, overheating from clogged filter).",,,,,,,,,,,
lo-o-2,"35,36,37,38,39,40,41,42,43,44,45,46,47.48,81,82,83,84,85,86,87,88,89,90,91,92,93,94,113,129",Lobe Blowers,On Breakdown,Replace bearings and seals,Bearings/Seals,Replace all damaged bearings and associated seals.,,,,,,,,,,,
ja-d-1,"10,21,03,10,41,05,106",Jack Oil Pump,Daily,Check for abnormal noise/vibration,Pump/Motor Assembly,Listen for rubbing/grinding; check vibration levels by hand or meter.,,,,,,,,,,,
ja-d-2,"10,21,03,10,41,05,106",Jack Oil Pump,Daily,Check bearing temperature,Bearings/Housing,Monitor temperature (hand-feel or gauge); compare to baseline/limits.,,,,,,,,,,,
ja-d-3,"10,21,03,10,41,05,106",Jack Oil Pump,Daily,Inspect seal/packing for leaks,Seal Chamber,Observe leakage rate; ensure it's within acceptable limits for seal type.,,,,,,,,,,,
ja-d-4,"10,21,03,10,41,05,106",Jack Oil Pump,Daily,Check lubrication oil level,Bearing Housing (Oil),Verify oil level is at sight glass midpoint or specified mark.,,,,,,,,,,,
ja-w-1,"10,21,03,10,41,05,106",Jack Oil Pump,Weekly,Check coupling security,Coupling,Visually inspect all coupling bolts for tightness.,,,,,,,,,,,
ja-w-2,"10,21,03,10,41,05,106",Jack Oil Pump,Weekly,Clean pump/motor exterior,Exterior Surfaces,"Wipe down surfaces, remove debris, ensure cooling fins are clear.",,,,,,,,,,,
ja-m-1,"10,21,03,10,41,05,106",Jack Oil Pump,Monthly,Top up grease in bearings,Bearings,Apply manufacturer-specified grease to motor and pump bearings.,,,,,,,,,,,
ja-m-2,"10,21,03,10,41,05,106",Jack Oil Pump,Monthly,Check foundation bolt tightness,Baseplate/Base,Verify anchor bolts holding motor/pump base are tight.,,,,,,,,,,,
ja-m-3,"10,21,03,10,41,05,106",Jack Oil Pump,Monthly,Check discharge/suction pressure,Piping/Gauges,Record operating pressure; compare to normal operating range.,,,,,,,,,,,
ja-q-1,"10,21,03,10,41,05,106",Jack Oil Pump,Quarterly,Perform detailed vibration analysis,Pump/Motor Assembly,"Diagnose issues: unbalance, misalignment, bearing defects.",,,,,,,,,,,
ja-q-2,"10,21,03,10,41,05,106",Jack Oil Pump,Quarterly,Check and correct coupling align.,Coupling,Use laser/dial indicators for shaft alignment.,,,,,,,,,,,
ja-q-3,"10,21,03,10,41,05,106",Jack Oil Pump,Quarterly,Change bearing lubrication oil,Bearing Housing (Oil),"Drain old oil, inspect for contamination, refill with new oil.",,,,,,,,,,,
ja-h-1,"10,21,03,10,41,05,106",Jack Oil Pump,Half-Yearly,Check shaft/bearing play,Shaft Bearings,Measure axial/radial shaft clearance (play).,,,,,,,,,,,
ja-h-2,"10,21,03,10,41,05,106",Jack Oil Pump,Half-Yearly,Inspect seal faces/gaskets,Mechanical Seal/Gaskets,"Check for scoring, pitting during short shutdown.",,,,,,,,,,,
ja-a-1,"10,21,03,10,41,05,106",Jack Oil Pump,Annually,Disassemble/internal inspection,"Casing, Impeller, Shaft","Inspect for erosion, corrosion, or cavitation damage.",,,,,,,,,,,
ja-a-2,"10,21,03,10,41,05,106",Jack Oil Pump,Annually,Inspect shaft sleeve condition,Shaft Sleeve,"Check for wear marks, pitting or corrosion near seal areas.",,,,,,,,,,,
ja-a-3,"10,21,03,10,41,05,106",Jack Oil Pump,Annually,Perform performance test,Pump System,Measure flow rate (Q) and head (H) to check efficiency.,,,,,,,,,,,
ja-o-1,"10,21,03,10,41,05,106",Jack Oil Pump,On Breakdown,Root Cause Analysis (RCA),Entire Unit,"Diagnose exact cause of failure (e.g., seal dry-run, bearing contamination).",,,,,,,,,,,
ja-o-2,"10,21,03,10,41,05,106",Jack Oil Pump,On Breakdown,Replace failed components,Damaged Parts,"Replace seal, bearings, shaft—ensure new parts meet OEM specs.",,,,,,,,,,,
ja-o-3,"10,21,03,10,41,05,106",Jack Oil Pump,On Breakdown,Re-align and re-commission,Pump/Motor Assembly,"Reinstall, align, and run a monitored start-up test.",,,,,,,,,,,
oi-d-1,"10,71,08,10,91,10,111",Oil Skid,Daily,Check for abnormal noise/vibration,Pumping Unit/Motor,Listen for any unusual sounds or vibrations in the oil pump/motor assembly.,,,,,,,,,,,
oi-d-2,"10,71,08,10,91,10,111",Oil Skid,Daily,Check oil level,Oil Reservoir/Tank,Confirm oil level is within the marked safe range.,,,,,,,,,,,
oi-d-3,"10,71,08,10,91,10,111",Oil Skid,Daily,Check bearing temperature,Bearings,Touch-check or use IR thermometer to detect overheating.,,,,,,,,,,,
oi-d-4,"10,71,08,10,91,10,111",Oil Skid,Daily,Inspect for visible leaks,Complete System,"Check around pump, filters, tank, connections for oil leaks.",,,,,,,,,,,
oi-d-5,"10,71,08,10,91,10,111",Oil Skid,Daily,Check pressure gauge readings,Delivery & Return Lines,Ensure normal operating pressure is maintained; compare with baseline.,,,,,,,,,,,
oi-w-1,"10,71,08,10,91,10,111",Oil Skid,Weekly,Inspect filter differential pressure,Oil Filters,Record and compare; clean/replace filter if pressure drop is high.,,,,,,,,,,,
oi-w-2,"10,71,08,10,91,10,111",Oil Skid,Weekly,Clean motor and pump exterior,External Surfaces,"Remove dust, oil residue, debris.",,,,,,,,,,,
oi-w-3,"10,71,08,10,91,10,111",Oil Skid,Weekly,Check tightness of reservoir cover,Reservoir/Tank,Verify inspection cover and manhole lids are tight.,,,,,,,,,,,
oi-m-1,"10,71,08,10,91,10,111",Oil Skid,Monthly,Top up oil if required,Oil Reservoir,Add recommended oil to maintain correct level.,,,,,,,,,,,
oi-m-2,"10,71,08,10,91,10,111",Oil Skid,Monthly,Check heater operation,Tank Heater,Ensure heater is functional and thermostat is calibrated.,,,,,,,,,,,
oi-m-3,"10,71,08,10,91,10,111",Oil Skid,Monthly,Inspect/clean oil breathers,Breathers/Dehydrators,Clean or replace breather elements.,,,,,,,,,,,
oi-q-1,"10,71,08,10,91,10,111",Oil Skid,Quarterly,Check and calibrate pressure gauges,Gauges and Indicators,"Remove, calibrate, reinstall; ensure correct display.",,,,,,,,,,,
oi-q-2,"10,71,08,10,91,10,111",Oil Skid,Quarterly,Clean/flush cooler tubes,Oil Cooler (Heat Exchanger),Flush cooler tubes to prevent clogging/scaling.,,,,,,,,,,,
oi-q-3,"10,71,08,10,91,10,111",Oil Skid,Quarterly,Check pump coupling alignment,Pump Coupling,Use dial/laser for alignment; re-align if necessary.,,,,,,,,,,,
oi-h-1,"10,71,08,10,91,10,111",Oil Skid,Half-Yearly,Inspect/replace filter elements,Oil Filters,Change filter cartridges/elements as per hours/condition.,,,,,,,,,,,
oi-h-2,"10,71,08,10,91,10,111",Oil Skid,Half-Yearly,Inspect oil quality,Oil Sample Point,"Test for water content, particulates, TAN (total acid number).",,,,,,,,,,,
oi-a-1,"10,71,08,10,91,10,111",Oil Skid,Annually,Drain and replace oil (if required),Oil Reservoir/Tank,"Drain old oil, clean tank, refill with fresh recommended oil.",,,,,,,,,,,
oi-a-2,"10,71,08,10,91,10,111",Oil Skid,Annually,Internal inspection of skid piping,"Pipes, Fittings","Open up for inspection and cleaning for sludge, varnish or blockages.",,,,,,,,,,,
oi-a-3,"10,71,08,10,91,10,111",Oil Skid,Annually,Check and service cooler/heat exchanger,Oil Cooler,"Inspect for corrosion, scaling; perform cleaning or tube replacement as needed.",,,,,,,,,,,
oi-o-1,"10,71,08,10,91,10,111",Oil Skid,On Breakdown,Root cause failure analysis,Entire System,"Trace fault/failure (e.g., pressure loss, oil contamination, pump failure).",,,,,,,,,,,
oi-o-2,"10,71,08,10,91,10,111",Oil Skid,On Breakdown,Replace/repair defective parts,Failed Components,"Replace pumps, motors, heaters, filters, etc. as necessary.",,,,,,,,,,,
oi-o-3,"10,71,08,10,91,10,111",Oil Skid,On Breakdown,Re-align and test complete system,All,"Commission repaired system, check for leaks, run monitored start-up.",,,,,,,,,,,
ce-d-1,115,Centrifuge,Daily,Check for abnormal vibration/noise,Bowl Assembly/Motor,Listen for unusual sounds; check for vibration during operation.,,,,,,,,,,,
ce-d-2,115,Centrifuge,Daily,Check oil inlet/outlet flow,Inlet & Outlet Pipes,Ensure normal flow; inspect sight glass; ensure supply/return is steady.,,,,,,,,,,,
ce-d-3,115,Centrifuge,Daily,Inspect for leaks,Gaskets/Flanges/Seals,"Check around bowl cover, piping, and drain for oil leaks.",,,,,,,,,,,
ce-d-4,115,Centrifuge,Daily,Monitor operating parameters,Control Panel/Meters,"Check temperature, flow, pressure, and amperage are within normal range.",,,,,,,,,,,
ce-w-1,115,Centrifuge,Weekly,Inspect sludge discharge mechanism,Sludge Drain/Discharge,Check and clean discharge path; remove accumulated sludge.,,,,,,,,,,,
ce-w-2,115,Centrifuge,Weekly,Clean unit exterior,Exterior Surfaces,Wipe down to prevent dust/oil build-up.,,,,,,,,,,,
ce-w-3,115,Centrifuge,Weekly,Check coupling alignment/condition,Motor-Centrifuge Coupling,Visual/mechanical check for proper alignment and fastener tightness.,,,,,,,,,,,
ce-m-1,115,Centrifuge,Monthly,Test safety interlocks,Safety Controls,"Test tripping mechanisms or alarms (overspeed, overtemp).",,,,,,,,,,,
ce-m-2,115,Centrifuge,Monthly,Inspect bowl locking mechanism,Bowl/Cover,Check lock ring and seals for wear or damage; ensure secure closure.,,,,,,,,,,,
ce-m-3,115,Centrifuge,Monthly,Clean/replace filter elements,Inline Filters/Strainers,Inspect and clean or replace as necessary to prevent blockages.,,,,,,,,,,,
ce-q-1,115,Centrifuge,Quarterly,Check and balance bowl assembly,Bowl & Spindle,"Inspect for wear on bowl, balance if vibration is detected.",,,,,,,,,,,
ce-q-2,115,Centrifuge,Quarterly,Inspect main drive belt/gear,Belt/Gear,"Check tension, alignment, and health; adjust or replace as needed.",,,,,,,,,,,
ce-q-3,115,Centrifuge,Quarterly,Inspect and lubricate bearings/shafts,Bearings/Shafts,Grease or oil as per OEM recommendations; listen for noise.,,,,,,,,,,,
ce-h-1,115,Centrifuge,Half-Yearly,Inspect electronic control panel,Control Panel,"Check/clean contactors, relays, terminals for loose/worn parts.",,,,,,,,,,,
ce-h-2,115,Centrifuge,Half-Yearly,Perform functional test of purifying cycle,Entire System,Run full cycle with sampling; verify separation performance.,,,,,,,,,,,
ce-a-1,115,Centrifuge,Annually,Disassemble and clean bowl assembly,Bowl/Cover/Spindle,"Remove, thoroughly clean, inspect for erosion/corrosion; replace seals/gaskets.",,,,,,,,,,,
ce-a-2,115,Centrifuge,Annually,Calibrate & test sensors,Sensors & Gauges,"Verify temperature, pressure, flow sensors, controls and alarms calibration.",,,,,,,,,,,
ce-a-3,115,Centrifuge,Annually,Inspect motor/drive system,Motor/Drive,"Check winding insulation, bearings, brushes (if any), alignment.",,,,,,,,,,,
ce-a-4,115,Centrifuge,Annually,Thorough inspection of all piping,All Pipes & Valves,"Open, inspect for sludge, scale, blockages; clean and reseal.",,,,,,,,,,,
ce-o-1,115,Centrifuge,On Breakdown,Root cause failure analysis,Entire Centrifuge,"Determine cause of malfunction, repair/replace damaged part(s).",,,,,,,,,,,
ce-o-2,115,Centrifuge,On Breakdown,Replace defective mechanical parts,"Bowl, Shafts, Motor",Repair/replace affected major assemblies; test after repair.,,,,,,,,,,,
ce-o-3,115,Centrifuge,On Breakdown,Reset and commission after repair,All,"Confirm all connections, run test cycle, recheck for leaks/vibration.",,,,,,,,,,,
